,train_data,test_data,n_neighbors,weights,metric,mean_absolute_error,std_dev_distance_error,mean_squared_error,percentile_25,percentile_50,percentile_75,percentile_90,percentile_95,min,max
33,full_raw_data,summarized_mean_data,3,uniform,euclidean,1.959330406620551,1.188740542044263,5.195555555555555,1.3333333333333357,2.0,2.0,3.0666666666666673,4.399999999999997,0.0,5.333333333333332
34,summarized_mean_data,full_raw_data,3,uniform,euclidean,2.650591357624427,1.803517031837087,10.275055555555555,1.333333333333333,1.509230856356236,4.0,4.666666666666668,6.0,0.0,10.0
35,summarized_mean_data,summarized_mean_data,3,uniform,euclidean,2.3726835653733094,1.7530843945408638,8.579999999999998,1.3333333333333321,1.333333333333333,4.0,4.400000000000001,5.1999999999999975,1.3333333333333321,8.0
36,full_raw_data,full_raw_data,3,uniform,manhattan,2.3437014460032857,1.3454393603607246,7.301333333333334,1.5811388300841898,2.0,3.333333333333332,4.0,4.666666666666667,0.0,8.666666666666668
37,full_raw_data,summarized_mean_data,3,uniform,manhattan,2.1387178840514793,1.129003796779183,5.797777777777777,2.0,2.0,2.0,3.3333333333333326,4.399999999999997,0.4714045207910321,5.333333333333332
38,summarized_mean_data,full_raw_data,3,uniform,manhattan,2.6149463187382525,1.7430128639689408,9.873,1.3333333333333321,1.509230856356236,4.0,4.666666666666667,5.333333333333332,0.666666666666667,8.0
39,summarized_mean_data,summarized_mean_data,3,uniform,manhattan,2.399350232039976,1.5622894738204296,8.1,1.3333333333333321,1.333333333333334,4.0,4.400000000000001,5.1999999999999975,1.3333333333333321,6.666666666666668
40,full_raw_data,full_raw_data,3,distance,euclidean,2.399842276874075,1.3142827634663443,7.484854797034534,1.9999999999999964,2.0,3.2195152116772037,4.0,4.731514983845212,0.004411784447423628,9.326576568547484
41,full_raw_data,summarized_mean_data,3,distance,euclidean,1.9648753658105962,1.2033654752630851,5.250900131542269,1.197668538166802,2.0,2.0000000000000036,3.109022986869901,4.467621897838789,0.048413496884482043,5.3719010464323915
42,summarized_mean_data,full_raw_data,3,distance,euclidean,2.5049214066745367,1.6202105553062958,8.897088414898729,1.3058478645620646,1.6603557448317106,3.8897231355692936,4.418907089812806,5.688216724061492,0.08233236312323555,8.84570217395202
43,summarized_mean_data,summarized_mean_data,3,distance,euclidean,2.1555360475815357,1.541660825398751,6.927985028969816,1.2432783417718216,1.4762309552303563,3.6200530001033338,4.233775671041441,4.458487018906698,0.6007986236355087,6.451954193455624
44,full_raw_data,full_raw_data,3,distance,manhattan,2.3464786745816304,1.3385366228107993,7.295850780581479,1.5811388300841913,2.0,3.269563578346692,4.0,4.685208031669935,0.007666947788084855,8.632443531827512
45,full_raw_data,summarized_mean_data,3,distance,manhattan,2.13376832174584,1.1343501254918034,5.788247449801195,1.999999999999993,2.0,2.0000000000000036,3.3535494614720225,4.446389433298205,0.49079430096142296,5.335657797043321
46,summarized_mean_data,full_raw_data,3,distance,manhattan,2.4576388087882144,1.5463730602891101,8.428866886408287,1.2553048557929911,1.63928318746422,3.851348040932761,4.308509746405516,5.10509779790554,0.04115760131349333,7.993525927667015
47,summarized_mean_data,summarized_mean_data,3,distance,manhattan,2.189709594633109,1.42154426057327,6.734784670206344,1.174264330668482,1.5866760528831527,3.571977814665285,4.279537201159011,4.656361179797107,0.709529298945685,5.398525033601395
48,full_raw_data,full_raw_data,4,uniform,euclidean,2.3839011062270616,1.3266831211081365,7.4413125,1.5811388300841898,2.0,3.0,4.0,5.0,0.0,9.5
49,full_raw_data,summarized_mean_data,4,uniform,euclidean,1.8668304079270899,1.3109889031593887,5.135,1.0,2.0,2.5,3.3000000000000007,3.8999999999999986,0.0,5.5
50,summarized_mean_data,full_raw_data,4,uniform,euclidean,2.6380406761622446,2.113569804437895,11.42196875,1.0,2.5,3.2467082451262845,5.0,6.024999999999977,0.0,10.0
51,summarized_mean_data,summarized_mean_data,4,uniform,euclidean,2.4775528866710257,1.9023646726256873,9.6125,1.5,2.5,2.62797450520358,5.0,5.0,0.0,7.5
52,full_raw_data,full_raw_data,4,uniform,manhattan,2.33052039212578,1.349662936413327,7.25109375,1.5811388300841898,2.0,3.0,4.0,5.0,0.0,9.0
53,full_raw_data,summarized_mean_data,4,uniform,manhattan,2.001843031777586,1.1474039884141376,5.27125,1.0,2.0,2.23606797749979,3.0,3.799999999999997,0.0,5.5
54,summarized_mean_data,full_raw_data,4,uniform,manhattan,2.7086986802873523,2.157105598707109,11.9855,1.0606601717798212,2.5,3.0413812651491097,5.5,6.024999999999977,0.0,10.0
55,summarized_mean_data,summarized_mean_data,4,uniform,manhattan,2.3975528866710256,1.921436137051158,9.2925,1.5,2.5,2.62797450520358,5.0,5.799999999999997,0.0,7.5
56,full_raw_data,full_raw_data,4,distance,euclidean,2.3843708379204496,1.3171424222411028,7.418353589032147,1.5811388300841913,2.0,3.0150858261580344,4.0,4.9958666562229,0.012303481957848916,9.488821317346343
