,filename,x,y,floor,sample_id,mac_address,signal_strength
122,"point(27,10).json",13.5,5.0,2,18,00:11:21:6c:4e:70,-80
123,"point(27,10).json",13.5,5.0,2,18,00:0f:60:06:71:2e,-75
124,"point(27,10).json",13.5,5.0,2,18,00:11:21:66:75:80,-80
125,"point(27,10).json",13.5,5.0,2,18,00:11:21:6c:4e:71,-81
126,"point(27,10).json",13.5,5.0,2,18,00:11:21:6c:50:e1,-87
127,"point(27,10).json",13.5,5.0,2,18,00:15:f9:6c:7d:22,-88
128,"point(27,10).json",13.5,5.0,2,18,00:15:f9:6c:7a:d2,-84
129,"point(27,10).json",13.5,5.0,2,18,00:15:f9:6c:7d:20,-87
130,"point(27,10).json",13.5,5.0,2,18,00:11:21:6c:50:e0,-88
131,"point(27,10).json",13.5,5.0,2,18,00:11:21:6c:50:e2,-88
132,"altPoint(27,10).json",13.5,5.0,2,5,00:15:f9:6c:7d:71,-55
133,"altPoint(27,10).json",13.5,5.0,2,5,00:11:21:6c:4e:72,-79
134,"altPoint(27,10).json",13.5,5.0,2,5,00:11:21:6c:4e:71,-79
135,"altPoint(27,10).json",13.5,5.0,2,5,00:11:21:6c:4e:70,-78
136,"altPoint(27,10).json",13.5,5.0,2,5,00:15:f9:6c:7d:70,-56
137,"altPoint(27,10).json",13.5,5.0,2,5,00:15:f9:6c:7d:72,-55
138,"altPoint(27,10).json",13.5,5.0,2,5,00:12:da:9e:32:31,-57
139,"altPoint(27,10).json",13.5,5.0,2,5,00:12:da:9e:32:30,-56
140,"altPoint(27,10).json",13.5,5.0,2,5,00:12:da:9e:32:32,-56
141,"altPoint(27,10).json",13.5,5.0,2,5,00:15:f9:6c:7a:e0,-78
142,"altPoint(27,10).json",13.5,5.0,2,5,00:11:21:66:75:81,-79
143,"altPoint(27,10).json",13.5,5.0,2,5,00:11:21:66:75:82,-79
144,"altPoint(27,10).json",13.5,5.0,2,5,00:11:21:66:75:80,-81
145,"altPoint(27,10).json",13.5,5.0,2,5,00:15:f9:6c:7a:e1,-78
146,"altPoint(27,10).json",13.5,5.0,2,5,00:15:f9:6c:7a:e2,-78
147,"altPoint(27,10).json",13.5,5.0,2,5,00:11:21:6c:50:e1,-89
148,"altPoint(27,10).json",13.5,5.0,2,5,00:11:21:6c:50:e2,-87
149,"altPoint(27,10).json",13.5,5.0,2,5,00:11:21:6c:50:e0,-87
150,"altPoint(27,10).json",13.5,5.0,2,5,00:15:f9:6c:7a:d1,-84
151,"altPoint(27,10).json",13.5,5.0,2,5,00:15:f9:6c:7a:d2,-84
152,"altPoint(27,10).json",13.5,5.0,2,5,00:15:f9:6c:7a:d0,-82
153,"altPoint(27,10).json",13.5,5.0,2,5,00:15:f9:6c:7d:22,-87
154,"point(27,10).json",13.5,5.0,2,9,00:15:f9:6c:7a:e1,-78
155,"point(27,10).json",13.5,5.0,2,9,00:15:f9:6c:7a:e0,-79
156,"point(27,10).json",13.5,5.0,2,9,00:15:f9:6c:7a:e2,-79
157,"point(27,10).json",13.5,5.0,2,9,00:12:da:9e:32:31,-68
158,"point(27,10).json",13.5,5.0,2,9,00:12:da:9e:32:32,-68
159,"point(27,10).json",13.5,5.0,2,9,00:15:f9:6c:7d:72,-49
160,"point(27,10).json",13.5,5.0,2,9,00:15:f9:6c:7d:71,-50
161,"point(27,10).json",13.5,5.0,2,9,00:15:f9:6c:7d:70,-50
162,"point(27,10).json",13.5,5.0,2,9,00:12:da:9e:32:30,-69
163,"point(27,10).json",13.5,5.0,2,9,00:11:21:66:75:82,-80
164,"point(27,10).json",13.5,5.0,2,9,00:11:21:66:75:81,-80
165,"point(27,10).json",13.5,5.0,2,9,00:11:21:6c:4e:72,-80
166,"point(27,10).json",13.5,5.0,2,9,00:15:f9:6c:7d:22,-88
167,"point(27,10).json",13.5,5.0,2,9,00:15:f9:6c:7d:21,-84
168,"point(27,10).json",13.5,5.0,2,9,00:11:21:6c:4e:71,-80
169,"point(27,10).json",13.5,5.0,2,9,00:11:21:6c:4e:70,-80
170,"point(27,10).json",13.5,5.0,2,9,00:15:f9:6c:7d:20,-88
171,"point(27,10).json",13.5,5.0,2,9,00:15:f9:6c:7a:d2,-83
172,"point(27,10).json",13.5,5.0,2,9,00:0f:60:06:71:2e,-69
173,"point(27,10).json",13.5,5.0,2,9,00:11:21:6c:50:e0,-89
174,"point(27,10).json",13.5,5.0,2,9,00:15:f9:6c:7a:d1,-81
175,"point(27,10).json",13.5,5.0,2,9,00:11:21:6c:50:e2,-89
176,"point(27,10).json",13.5,5.0,2,9,00:11:21:66:75:80,-81
177,"point(27,10).json",13.5,5.0,2,6,00:15:f9:6c:7a:e1,-76
178,"point(27,10).json",13.5,5.0,2,6,00:15:f9:6c:7a:e0,-79
179,"point(27,10).json",13.5,5.0,2,6,00:15:f9:6c:7a:e2,-78
180,"point(27,10).json",13.5,5.0,2,6,00:12:da:9e:32:31,-68
181,"point(27,10).json",13.5,5.0,2,6,00:12:da:9e:32:32,-69
182,"point(27,10).json",13.5,5.0,2,6,00:15:f9:6c:7d:72,-50
183,"point(27,10).json",13.5,5.0,2,6,00:15:f9:6c:7d:71,-50
184,"point(27,10).json",13.5,5.0,2,6,00:15:f9:6c:7d:70,-50
185,"point(27,10).json",13.5,5.0,2,6,00:12:da:9e:32:30,-68
186,"point(27,10).json",13.5,5.0,2,6,00:11:21:66:75:82,-82
187,"point(27,10).json",13.5,5.0,2,6,00:11:21:66:75:81,-81
188,"point(27,10).json",13.5,5.0,2,6,00:11:21:6c:4e:72,-81
189,"point(27,10).json",13.5,5.0,2,6,00:11:21:66:75:80,-82
190,"point(27,10).json",13.5,5.0,2,6,00:15:f9:6c:7d:22,-88
191,"point(27,10).json",13.5,5.0,2,6,00:15:f9:6c:7d:21,-87
192,"point(27,10).json",13.5,5.0,2,6,00:11:21:6c:4e:71,-79
193,"point(27,10).json",13.5,5.0,2,6,00:15:f9:6c:7a:d1,-86
194,"point(27,10).json",13.5,5.0,2,6,00:11:21:6c:4e:70,-84
195,"point(27,10).json",13.5,5.0,2,6,00:15:f9:6c:7d:20,-86
196,"point(27,10).json",13.5,5.0,2,6,00:15:f9:6c:7a:d2,-78
197,"point(27,10).json",13.5,5.0,2,13,00:15:f9:6c:7a:e1,-74
198,"point(27,10).json",13.5,5.0,2,13,00:15:f9:6c:7a:e0,-74
199,"point(27,10).json",13.5,5.0,2,13,00:15:f9:6c:7a:e2,-74
200,"point(27,10).json",13.5,5.0,2,13,00:12:da:9e:32:31,-64
201,"point(27,10).json",13.5,5.0,2,13,00:12:da:9e:32:32,-64
202,"point(27,10).json",13.5,5.0,2,13,00:15:f9:6c:7d:72,-50
203,"point(27,10).json",13.5,5.0,2,13,00:15:f9:6c:7d:71,-49
204,"point(27,10).json",13.5,5.0,2,13,00:15:f9:6c:7d:70,-50
205,"point(27,10).json",13.5,5.0,2,13,00:12:da:9e:32:30,-65
206,"point(27,10).json",13.5,5.0,2,13,00:11:21:66:75:82,-81
207,"point(27,10).json",13.5,5.0,2,13,00:11:21:66:75:81,-78
208,"point(27,10).json",13.5,5.0,2,13,00:11:21:6c:4e:72,-80
209,"point(27,10).json",13.5,5.0,2,13,00:15:f9:6c:7d:21,-85
210,"point(27,10).json",13.5,5.0,2,13,00:11:21:6c:4e:70,-83
211,"point(27,10).json",13.5,5.0,2,13,00:0f:60:06:71:2e,-51
212,"point(27,10).json",13.5,5.0,2,13,00:11:21:6c:50:e2,-88
213,"point(27,10).json",13.5,5.0,2,13,00:11:21:66:75:80,-79
214,"point(27,10).json",13.5,5.0,2,13,00:15:f9:6c:7a:d1,-80
215,"point(27,10).json",13.5,5.0,2,13,00:11:21:6c:4e:71,-82
216,"point(27,10).json",13.5,5.0,2,13,00:11:21:6c:50:e1,-88
217,"point(27,10).json",13.5,5.0,2,13,00:15:f9:6c:7d:22,-87
218,"altPoint(27,10).json",13.5,5.0,2,1,00:15:f9:6c:7d:71,-53
219,"altPoint(27,10).json",13.5,5.0,2,1,00:11:21:6c:4e:72,-79
220,"altPoint(27,10).json",13.5,5.0,2,1,00:11:21:6c:4e:71,-82
221,"altPoint(27,10).json",13.5,5.0,2,1,00:11:21:6c:4e:70,-78
222,"altPoint(27,10).json",13.5,5.0,2,1,00:15:f9:6c:7d:70,-54
223,"altPoint(27,10).json",13.5,5.0,2,1,00:15:f9:6c:7d:72,-54
224,"altPoint(27,10).json",13.5,5.0,2,1,00:12:da:9e:32:31,-56
225,"altPoint(27,10).json",13.5,5.0,2,1,00:12:da:9e:32:30,-57
226,"altPoint(27,10).json",13.5,5.0,2,1,00:12:da:9e:32:32,-56
227,"altPoint(27,10).json",13.5,5.0,2,1,00:15:f9:6c:7a:e0,-81
228,"altPoint(27,10).json",13.5,5.0,2,1,00:11:21:66:75:81,-79
229,"altPoint(27,10).json",13.5,5.0,2,1,00:11:21:66:75:82,-80
230,"altPoint(27,10).json",13.5,5.0,2,1,00:11:21:66:75:80,-82
231,"altPoint(27,10).json",13.5,5.0,2,1,00:15:f9:6c:7a:e1,-80
232,"altPoint(27,10).json",13.5,5.0,2,1,00:15:f9:6c:7a:e2,-81
233,"altPoint(27,10).json",13.5,5.0,2,1,00:15:f9:6c:7a:d1,-84
234,"altPoint(27,10).json",13.5,5.0,2,1,00:11:21:6c:50:e1,-88
235,"altPoint(27,10).json",13.5,5.0,2,1,00:15:f9:6c:7a:d2,-86
236,"altPoint(27,10).json",13.5,5.0,2,1,00:15:f9:6c:7d:20,-87
237,"altPoint(27,10).json",13.5,5.0,2,1,00:11:21:6c:50:e2,-88
238,"altPoint(27,10).json",13.5,5.0,2,1,00:15:f9:6c:7d:22,-89
239,"altPoint(27,10).json",13.5,5.0,2,1,00:11:21:6c:50:e0,-87
240,"altPoint(27,10).json",13.5,5.0,2,1,00:15:f9:6c:7d:21,-90
241,"altPoint(27,10).json",13.5,5.0,2,1,00:15:f9:6c:7a:d0,-83
242,"altPoint(27,10).json",13.5,5.0,2,16,00:15:f9:6c:7d:71,-47
243,"altPoint(27,10).json",13.5,5.0,2,16,00:11:21:6c:4e:72,-78
244,"altPoint(27,10).json",13.5,5.0,2,16,00:11:21:6c:4e:71,-76
245,"altPoint(27,10).json",13.5,5.0,2,16,00:11:21:6c:4e:70,-79
246,"altPoint(27,10).json",13.5,5.0,2,16,00:15:f9:6c:7d:70,-46
247,"altPoint(27,10).json",13.5,5.0,2,16,00:15:f9:6c:7d:72,-47
248,"altPoint(27,10).json",13.5,5.0,2,16,00:12:da:9e:32:31,-55
249,"altPoint(27,10).json",13.5,5.0,2,16,00:12:da:9e:32:30,-55
250,"altPoint(27,10).json",13.5,5.0,2,16,00:12:da:9e:32:32,-55
251,"altPoint(27,10).json",13.5,5.0,2,16,00:15:f9:6c:7a:e0,-82
252,"altPoint(27,10).json",13.5,5.0,2,16,00:11:21:66:75:81,-78
253,"altPoint(27,10).json",13.5,5.0,2,16,00:11:21:66:75:82,-78
254,"altPoint(27,10).json",13.5,5.0,2,16,00:11:21:66:75:80,-80
255,"altPoint(27,10).json",13.5,5.0,2,16,00:15:f9:6c:7a:e1,-79
256,"altPoint(27,10).json",13.5,5.0,2,16,00:15:f9:6c:7a:e2,-80
257,"altPoint(27,10).json",13.5,5.0,2,16,00:11:21:6c:50:e1,-87
258,"altPoint(27,10).json",13.5,5.0,2,16,00:11:21:6c:50:e2,-83
259,"altPoint(27,10).json",13.5,5.0,2,16,00:11:21:6c:50:e0,-90
260,"altPoint(27,10).json",13.5,5.0,2,16,00:15:f9:6c:7d:22,-86
261,"altPoint(27,10).json",13.5,5.0,2,16,00:15:f9:6c:7a:d2,-82
262,"altPoint(27,10).json",13.5,5.0,2,16,00:15:f9:6c:7d:20,-87
263,"altPoint(27,10).json",13.5,5.0,2,14,00:15:f9:6c:7d:71,-48
264,"altPoint(27,10).json",13.5,5.0,2,14,00:11:21:6c:4e:72,-77
265,"altPoint(27,10).json",13.5,5.0,2,14,00:11:21:6c:4e:71,-77
266,"altPoint(27,10).json",13.5,5.0,2,14,00:11:21:6c:4e:70,-76
267,"altPoint(27,10).json",13.5,5.0,2,14,00:15:f9:6c:7d:70,-48
268,"altPoint(27,10).json",13.5,5.0,2,14,00:15:f9:6c:7d:72,-47
269,"altPoint(27,10).json",13.5,5.0,2,14,00:12:da:9e:32:31,-56
270,"altPoint(27,10).json",13.5,5.0,2,14,00:12:da:9e:32:30,-56
271,"altPoint(27,10).json",13.5,5.0,2,14,00:12:da:9e:32:32,-56
272,"altPoint(27,10).json",13.5,5.0,2,14,00:15:f9:6c:7a:e0,-81
273,"altPoint(27,10).json",13.5,5.0,2,14,00:11:21:66:75:81,-79
274,"altPoint(27,10).json",13.5,5.0,2,14,00:11:21:66:75:82,-79
275,"altPoint(27,10).json",13.5,5.0,2,14,00:11:21:66:75:80,-80
276,"altPoint(27,10).json",13.5,5.0,2,14,00:15:f9:6c:7a:e1,-81
277,"altPoint(27,10).json",13.5,5.0,2,14,00:15:f9:6c:7a:e2,-81
278,"altPoint(27,10).json",13.5,5.0,2,14,00:11:21:6c:50:e1,-88
279,"altPoint(27,10).json",13.5,5.0,2,14,00:11:21:6c:50:e2,-90
280,"altPoint(27,10).json",13.5,5.0,2,14,00:11:21:6c:50:e0,-88
281,"altPoint(27,10).json",13.5,5.0,2,14,00:15:f9:6c:7d:22,-86
282,"altPoint(27,10).json",13.5,5.0,2,14,00:15:f9:6c:7d:21,-85
283,"altPoint(27,10).json",13.5,5.0,2,14,00:15:f9:6c:7a:d2,-87
284,"altPoint(27,10).json",13.5,5.0,2,14,00:15:f9:6c:7a:d1,-86
285,"altPoint(27,10).json",13.5,5.0,2,14,00:15:f9:6c:7d:20,-87
286,"point(27,10).json",13.5,5.0,2,3,00:15:f9:6c:7a:e1,-78
287,"point(27,10).json",13.5,5.0,2,3,00:15:f9:6c:7a:e0,-82
288,"point(27,10).json",13.5,5.0,2,3,00:15:f9:6c:7a:e2,-82
289,"point(27,10).json",13.5,5.0,2,3,00:12:da:9e:32:31,-68
290,"point(27,10).json",13.5,5.0,2,3,00:12:da:9e:32:32,-68
291,"point(27,10).json",13.5,5.0,2,3,00:15:f9:6c:7d:72,-49
292,"point(27,10).json",13.5,5.0,2,3,00:15:f9:6c:7d:71,-49
293,"point(27,10).json",13.5,5.0,2,3,00:15:f9:6c:7d:70,-50
294,"point(27,10).json",13.5,5.0,2,3,00:12:da:9e:32:30,-68
295,"point(27,10).json",13.5,5.0,2,3,00:11:21:66:75:82,-78
296,"point(27,10).json",13.5,5.0,2,3,00:11:21:66:75:81,-77
297,"point(27,10).json",13.5,5.0,2,3,00:11:21:6c:4e:72,-80
298,"point(27,10).json",13.5,5.0,2,3,00:11:21:66:75:80,-78
299,"point(27,10).json",13.5,5.0,2,3,00:15:f9:6c:7a:d2,-82
300,"point(27,10).json",13.5,5.0,2,3,00:15:f9:6c:7d:22,-86
