,filename,x,y,floor,sample_id,timestamp,00:15:f9:6c:7d:71,00:11:21:6c:4e:72,00:11:21:6c:4e:71,00:15:f9:6c:7d:21,00:11:21:6c:4e:70,00:15:f9:6c:7d:20,00:15:f9:6c:7d:22,00:11:21:6c:50:e1,00:11:21:6c:50:e2,00:15:f9:6c:7d:70,00:15:f9:6c:7d:72,00:11:21:6c:50:e0,00:12:da:9e:32:31,00:12:da:9e:32:30,00:12:da:9e:32:32,00:11:21:66:75:82,00:11:21:66:75:81,00:15:f9:6c:7a:e1,00:15:f9:6c:7a:e0,00:11:21:66:75:80,00:15:f9:6c:7a:d2,00:15:f9:6c:7a:d1,00:15:f9:6c:7a:e2,00:15:f9:6c:7a:d0,00:17:df:7d:70:51,00:17:df:7d:70:52,00:17:df:7d:70:50,88:e3:ab:11:f4:ee,00:12:80:17:ac:ae,00:0f:60:06:71:2e,00:1b:fc:22:43:4e,00:12:da:9e:31:91,00:12:43:f1:c4:41,00:12:43:f1:c4:40,00:12:43:f1:c4:42,bc:14:01:9c:37:08,bc:14:01:9c:37:09,b0:5b:67:c2:a0:16,30:8d:99:64:aa:8d,error
33,"altPoint(27,6).json",13.5,3.0,2,9,1461871305826,-56.0,-86.0,-100.0,-83.0,-82.0,-84.0,-84.0,-87.0,-88.0,-56.0,-56.0,-87.0,-67.0,-67.0,-70.0,-75.0,-71.0,-70.0,-70.0,-86.0,-80.0,-80.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
34,"altPoint(27,6).json",13.5,3.0,2,10,1461871305826,-56.0,-83.0,-83.0,-83.0,-82.0,-84.0,-85.0,-88.0,-89.0,-56.0,-57.0,-89.0,-71.0,-67.0,-71.0,-85.0,-84.0,-69.0,-69.0,-85.0,-100.0,-86.0,-69.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
35,"altPoint(27,6).json",13.5,3.0,2,11,1461871305826,-57.0,-83.0,-83.0,-83.0,-83.0,-85.0,-84.0,-87.0,-86.0,-56.0,-57.0,-89.0,-72.0,-72.0,-71.0,-84.0,-84.0,-69.0,-69.0,-76.0,-100.0,-86.0,-69.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
36,"altPoint(27,6).json",13.5,3.0,2,12,1461871305826,-58.0,-83.0,-84.0,-83.0,-83.0,-84.0,-84.0,-86.0,-85.0,-56.0,-57.0,-88.0,-72.0,-72.0,-71.0,-84.0,-77.0,-70.0,-70.0,-77.0,-74.0,-100.0,-70.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
37,"altPoint(27,6).json",13.5,3.0,2,13,1461871305826,-56.0,-83.0,-83.0,-83.0,-84.0,-84.0,-83.0,-89.0,-87.0,-62.0,-62.0,-89.0,-70.0,-69.0,-69.0,-77.0,-77.0,-70.0,-70.0,-81.0,-82.0,-100.0,-70.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
38,"altPoint(27,6).json",13.5,3.0,2,14,1461871305826,-59.0,-81.0,-83.0,-82.0,-84.0,-82.0,-82.0,-86.0,-89.0,-61.0,-60.0,-89.0,-67.0,-64.0,-67.0,-77.0,-76.0,-69.0,-69.0,-76.0,-84.0,-78.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
39,"altPoint(27,6).json",13.5,3.0,2,15,1461871305826,-57.0,-80.0,-82.0,-82.0,-100.0,-84.0,-85.0,-88.0,-87.0,-57.0,-56.0,-86.0,-66.0,-66.0,-70.0,-74.0,-75.0,-70.0,-70.0,-83.0,-84.0,-78.0,-70.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
40,"altPoint(27,6).json",13.5,3.0,2,16,1461871305826,-58.0,-80.0,-82.0,-84.0,-100.0,-84.0,-83.0,-88.0,-86.0,-58.0,-59.0,-88.0,-65.0,-65.0,-65.0,-79.0,-78.0,-69.0,-69.0,-78.0,-79.0,-79.0,-68.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
41,"altPoint(27,6).json",13.5,3.0,2,17,1461871305826,-62.0,-86.0,-100.0,-83.0,-100.0,-84.0,-83.0,-89.0,-86.0,-61.0,-62.0,-88.0,-65.0,-66.0,-66.0,-83.0,-84.0,-70.0,-70.0,-76.0,-81.0,-78.0,-69.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
42,"altPoint(27,6).json",13.5,3.0,2,18,1461871305826,-55.0,-85.0,-100.0,-84.0,-100.0,-83.0,-83.0,-87.0,-100.0,-56.0,-56.0,-100.0,-72.0,-72.0,-70.0,-76.0,-76.0,-69.0,-70.0,-77.0,-81.0,-78.0,-70.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
